source,num,title
ACTA PHYSICO-CHIMICA SINICA,"10.3866/PKU.WHXB201609202,JAN 15 2017",Core-Shell Electrocatalysts for Oxygen Reduction Reaction
"Acta Physica-Chimica Sinica,物理化学学报",,"海胆状碳纳米管/纳米多面体超结构用于长寿命锂硫,
"
CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE,"10.7503/cjcu20160457,JAN 10 2017",A New Formic Acid/Iron Ion Fuel Cell
CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE,"10.7503/cjcu20160452,JAN 10 2017",Effect of SO42- Doping on Electrochemical Properties of the Nasicon Li3Fe2 (PO4)(3) Cathode
CHINESE JOURNAL OF INORGANIC CHEMISTRY,"10.11862/CJIC.2017.020,JAN 10 2017",Preparation of Carbon-Coated LiNi1/3Co1/3Mn1/3O2 Cathode for High-Rate Lithium Ion Batteries
ACTA PHYSICO-CHIMICA SINICA,"10.3866/PKU.WHXB201610111,JAN 15 2017",Recent Developments in Cathode Materials for Na Ion Batteries
SCIENCE CHINA-MATERIALS,"10.1007/s40843-016-5086-7,NOV 2016",An interlayer nanostructure of rGO/Sn2Fe-NRs array/rGO with high capacity for lithium ion battery anodes
RARE METAL MATERIALS AND ENGINEERING,DEC 2016,Preparation of Li-B Alloy Battery Anode Material
CHINESE JOURNAL OF CATALYSIS,"10.1016/S1872-2067(16)62513-5,NOV 2016",Recent progress in CO oxidation over Pt-group-metal catalysts at low temperatures
CHINESE JOURNAL OF ORGANIC CHEMISTRY,"10.6023/cjoc201605020,NOV 2016",Progress of Organic Photovoltaic Cells Based on Squaraine Small Molecule Donors and Fullerene Acceptors
CHINESE JOURNAL OF CATALYSIS,"10.1016/S1872-2067(16)62468-3,OCT 2016",Support effect of zinc tin oxide on gold catalyst for CO oxidation reaction
SCIENCE CHINA-MATERIALS,"10.1007/s40843-016-5103-7,OCT 2016",Hierarchical ZnO nanorod-on-nanosheet arrays electrodes for efficient CdSe quantum dot-sensitized solar cells
RARE METAL MATERIALS AND ENGINEERING,JAN 2017,La0.4Sr0.6Co0.2Fe0.7Nb0.1O3-delta Electrodes for YSZ-based Symmetrical SOFC
RARE METAL MATERIALS AND ENGINEERING,JAN 2017,Electrochemical Performance of LiMnBO3/C Composite Synthesized by Wet Impregnating Method
RARE METAL MATERIALS AND ENGINEERING,JAN 2017,Properties of Novel BZCY-(Li/Na)(2)CO3 Composite Electrolytes for LT-SOFC
RARE METAL MATERIALS AND ENGINEERING,JAN 2017,Preparation and Properties of LSGM-(Li/Na)(2)CO3 Composite Electrolytes for LT-SOFC
